lif;ref
-h2;c5
1n;b
-66;58
gn;-1
23;-bu
-3a;-64
-kt;-1c
82;-2q
-3l;im
2p;h6
-4d;1a
4f;-gd
bt;-g9
-a9;8p
-du;do
-7;-32
-ai;-lh
68;6l
i;5d
jv;-6j
6s;1x
-59;-6r
-15;-8g
-bi;-dc
4v;cl
-r;7e
3i;92
v;-2m
et;c
-gj;7w
c8;7i
-a8;-5z
6h;-32
79;63
-2t;y
90;-16
-4r;9t
36;44
-6j;-d3
-u;1r
-3t;-1a
-1a;-38
-ah;-7v
4v;b4
-4x;-6x
-3y;5c
i9;-bt
-hi;-b5
9p;7f
-7y;-bn
-e7;-68
-hs;ac
57;88
-8q;-du
-t;3q
5l;bn
n;7u
-17;8d
ae;c5
-14;-c0
iz;i
83;-2q
fb;3r
-2p;-d2
1m;-fx
6h;12
32;7d
91;-23
-3w;5a
52;-ah
-fi;-1a
5;15
2g;7r
-2;b2
-fp;3g
-9t;-bj
8f;-3a
-34;2o
-eb;-2x
5z;83
dy;52
2r;-7r
-1l;ec
-bp;2z
-5j;-hh
-8b;e
-6j;-7v
-s;5e
2p;5d
-3m;-1t
h1;-4o
-f7;f9
1k;6n
w;-js
-21;-fu
-d1;-3a
-be;70
-8z;-8k
t;-gf
30;-az
cb;-2v
5g;-ox
7y;7w
14;fl
-f;r
an;30
c1;-9c
-1r;-45
4z;-81
-fa;-7d
87;-7i
-5l;8d
-83;ge
95;3u
73;-4p
g8;7z
44;54
cc;-4k
60;7l
-i8;-78
36;7z
g2;-62
-3c;-4t
3x;-hr
-20;-an
-1n;7d
88;-51
cx;ab
-8e;-6l
-6j;-ml
-bc;d2
-h;3o
-97;-7e
-18;-ck
35;ca
-32;bb
8;44
6x;-q2
7i;-5q
-2s;9c
-48;-5l
-hc;9m
80;im
b1;-ef
-4f;-dx
2c;ca
d;26
1k;-81
-50;-5y
-2e;-k
-5y;-2v
m;-3e
-a4;-1s
hd;38
-t;3t
-h7;-y
-gh;13
-6a;-8n
af;-5z
6c;-g
dl;-2p
5w;3z
-3f;fs
-ek;-bh
8v;-ep
a3;-7j
56;-7b
4u;dm
3w;-73
-e5;29
-4a;5c
bv;2x
-9p;-d
7l;-3r
-c;3e
76;-cq
9v;-5n
-ir;-db
-b4;-54
-2j;26
-33;6t
-9l;-jq
51;-hd
-3l;2k
-be;-hu
d;as
22;k
-gb;2r
-2m;4s
-1w;-1k
1n;3l
eo;4z
dg;-ap
2v;-8d
6v;5u
-7c;-5j
-2n;5x
-3g;-26
-bx;-b1
-79;-1m
-77;-2c
-k1;2q
fn;-1u
-9q;-3g
9m;1h
9f;-fj
-5u;-2m
1o;-35
-56;3k
-91;cr
-2p;-4w
-44;-t
-1a;-h
aw;4t
-e1;b5
ab;6t
-t;hb
bn;2i
-ff;-26
-iq;-7g
ex;5y
-6o;9l
46;c6
6o;ly
-at;-4p
bq;-gz
-9f;-43
-ea;-6m
-1c;-a
-18;7n
-6h;-9o
9h;3p
-3;-hp
-39;-7y
bn;-3l
2y;-9j
o2;-52
-1o;39
z;5k
j9;-28
by;-47
-gs;-ak
ga;9x
-a4;-bk
9z;9l
-7c;83
7d;6e
-4a;-35
42;m0
79;-ls
-1i;2p
6c;-2g
-9h;-9r
c;-57
9v;48
cu;-ak
-2x;-ae
8g;-2i
-1x;-53
-14;6t
bp;1k
1b;-a6
2g;5s
-dl;-n
-ie;-1i
-2e;s
-jw;-6r
7;g9
-1q;c6
-i5;-a0
33;16
d;27
1k;-b
-47;2u
-1v;-b8
c;6f
-4d;-19
6u;-k3
-c9;6u
3f;-2o
59;-5d
1j;-5w
2f;1e
-8j;2y
39;-6y
gg;-3y
c2;-bt
-9q;-4a
1r;5t
4x;z
-cy;-aq
-6c;-72
-3q;-2p
-5;5e
a4;-8k
a6;7u
49;-7c
v;-9v
3q;4x
-5j;-19
2m;-44
1j;2f
-hb;3m
-8h;-6p
i2;-ea
-k;-4
-bm;-22
-3l;-1f
2x;7a
c;-29
gk;-46
-as;-iu
-1g;eb
-19;9n
-cf;26
-89;6o
-6m;-60
-f7;91
-i5;cf
3m;fh
40;-5q
77;1
-6l;-ae
-z;-2z
85;-2z
-1g;9d
93;a8
3j;-82
5g;-ep
5b;5l
-42;-72
-b2;-8z
-4g;v
-dl;bl
5x;-4k
-e;-cg
cl;-4c
df;bf
ct;-94
-id;s
-2j;-98
if;-55
-gn;-2m
-af;22
cb;-4c
55;-7t
bl;nf
8c;17
-2o;-b7
ap;-6t
-9p;-6a
-7f;32
-1t;a8
-4f;6a
eg;-8k
7c;6t
-m6;h8
1r;3h
c6;-37
-i9;c8
-1x;9h
2s;-2b
-ao;-8y
-ct;-45
7s;-3p
-50;-2c
-9y;6d
-14;ia
-o;7e
-dq;-2e
-60;-4o
-du;6k
4y;bf
7u;-40
6m;-1o
8l;-bt
-eu;3t
-2e;87
ax;-21
1c;cd
h1;a5
6k;3q
7u;-8x
53;84
b;-3y
1a;by
-fk;-4i
15;2l
-ec;-eq
-4y;-8l
8f;-1q
-7c;67
-fh;z
-e5;-bp
-34;az
ak;-m1
-b;1w
-28;-4
-4h;6o
-6r;1d
-3n;-ao
-7f;53
-a;-bi
61;ce
-dw;7l
1c;-3c
es;bw
-4g;-2u
-a;t
-8n;r
-ev;-4g
5q;7
cg;j
5y;-cs
9w;2v
c4;ji
-bt;d8
-k8;om
7w;-8f
-5v;30
7;1d
-3y;8y
-8l;1l
1m;mj
5g;-3g
4r;-15
3t;4g
-5h;i3
2i;-ea
-y;-nz
-60;en
-h;v
1z;-2v
-c;-9k
7y;e0
7w;-7j
-4u;-bw
-5o;-2q
2e;-4b
-lo;-2i
5r;-77
-5t;-7i
7k;-3r
-3y;-t
6;-5e
-75;6w
-cm;p8
-10;-5u
8a;bh
1x;-bw
g;-1b
80;-8t
7d;3h
-h7;c9
-jg;ei
-24;-6p
-14;-1a
6d;-91
37;a9
-7z;a
-4w;-8g
53;4p
-5p;-e6
-2z;-2f
-bu;6m
-7z;-he
11;-8i
5d;af
e7;-g
5z;-bl
4z;8c
-2e;-2o
2x;-47
3r;-73
1o;s
-4s;-2y
10;6d
-5o;-1h
gj;3a
hn;8u
2v;-8l
-2f;-56
x;-h2
-8p;-1d
-c0;-9l
-7z;-7j
58;d
1r;a8
db;-5l
-3y;-5n
cq;-6d
-cp;-t
44;4
-6z;-30
aj;-8f
-b4;2b
bq;-5k
-4y;hy
-3o;7u
-37;-9b
bk;-5i
-6j;13
81;-6w
-89;-77
-4p;9u
2o;-6r
-5v;-ae
6o;-6
-6h;6e
-ce;ow
6u;3a
2b;-be
-21;-i
fc;-8y
-2w;-5a
-1e;1s
-3g;p5
2y;c6
ax;-2t
9t;8f
-aa;4v
ub;-46
92;-5m
-9b;-p
-2l;3f
c1;i
-cs;-24
1r;-16
i5;-6b
d1;7v
-cl;4z
-6o;a
-49;-ds
-54;bj
d;-3z
bf;6e
-7l;-et
-f9;3y
-3x;dk
1x;8n
74;-4q
-3v;-c3
-3h;-3i
-5h;-5a
3b;-4h
-3t;aj
-3h;58
-eh;-i9
kg;-b1
4n;88
n9;da
-6s;-7g
-4;9e
-9i;t
fz;6v
-5k;-2f
n;8r
-fg;-95
7k;7t
5x;-47
-1a;dw
bx;0
-1l;7v
-64;a9
-ae;ao
-6h;-4
-6y;-83
aw;ef
-e3;47
-5l;ec
9s;-10
9t;f
2n;-81
6h;-1
7f;-4x
-8t;-b2
-87;-a5
-12;ah
1k;-47
-7r;4y
em;h4
62;-1r
-b6;4u
-6;sa
14;-id
-40;6k
1r;-a3
7y;-ag
-3g;jy
-5x;-93
-f;-e
v;-8c
-1m;-b8
b4;ch
-3f;-51
-1g;6c
-6v;-n7
a4;-hs
b9;8h
1f;61
-1r;-4
-c;-5v
-cg;-5z
-1i;-2k
-1g;8o
-61;-ak
-m5;-7h
-bg;-aq
7y;59
-i9;6q
m;47
3e;-2f
b8;-7
73;4w
6d;-2t
c;1l
3x;bw
-96;cb
-9n;-7c
-1v;76
-24;bm
-22;-1t
9z;-2z
26;-8b
ah;c3
ge;-b2
4f;-76
-en;n7
2o;-3m
ae;-gq
-1t;-4e
-ae;g
-ou;bc
8j;6y
-y;-3c
-b0;-ap
15;-28
2m;bi
21;3c
-6v;2i
2n;-ak
-is;-3d
1g;-72
49;-2i
-5y;3i
8g;7j
9a;-an
2i;-cf
-g5;4p
gb;-86
-28;50
j;-72
94;-e
ax;ch
-jw;-d6
7v;7e
-hg;-h
-m;1f
-c9;3p
-3t;-8a
7r;-z
at;av
l;-6e
lu;5j
-8n;41
67;34
4y;1b
32;-4y
30;-m
72;iy
3e;-eu
-90;7t
-56;-ez
h7;-d1
33;-8u
-4n;aa
-4q;k8
-3f;-17
1z;dr
-99;-ad
e9;6
-21;-fx
-ff;-al
ec;3l
1u;43
-3t;5r
-9h;7b
-7l;1l
l;-73
-7j;-5
en;-4o
-l1;-3y
-3o;-6o
a2;3y
1m;57
-8h;c3
-ex;fw
-c;-49
5n;n2
t;-7m
ak;-in
-55;-e0
-4u;bh
-8p;2f
-1x;22
73;1c
-8c;-jc
gg;-3z
-6d;-1o
m9;-l
99;-ak
1c;-6
-el;-e
1t;2o
-1o;i6
17;-7w
-ei;5q
fk;-32
-p;-6u
-5b;4x
4p;-j
as;y
-kq;18
-a1;-3y
4b;4e
36;bn
1p;6m
-99;8n
-3i;fn
3q;-b3
hv;-19
-f6;-2h
ap;8q
-38;2d
-70;6g
33;-1j
-6d;7y
9o;-a3
47;-f5
-n;-2r
6l;-3f
20;-3j
-fz;bw
-7h;t
72;-1n
m;-92
-2j;72
g1;-bk
dk;-3b
-kt;aq
-an;-4m
-d4;5u
ip;-ee
-2h;-69
-1l;fl
-80;-5v
2y;-l
-7;b4
91;an
5z;bu
2k;11
-67;-a5
-q;3p
-r;-4e
28;2a
-dk;l
dz;-bn
-6q;-1w
-16;dm
7k;1l
1v;5m
k9;-6o
c6;-3u
60;-99
-1h;-l7
-1j;9f
6a;-2m
-7t;-42
-5x;-ai
-mu;-5n
3a;-4e
75;4h
-47;bn
4e;bu
34;58
-ak;1w
-3g;-ar
8b;n1
d;-30
cr;26
-5f;-3q
2b;1b
-a3;-5n
da;-j
-6s;-f
-7g;-10
-ab;5x
-6q;ju
5w;1h
6o;74
3f;-iq
-86;-66
-ax;-87
-3m;1d
-5n;-ef
1p;-cg
-6h;-3u
-32;-71
50;-b2
46;-9m
-bl;-9r
1b;-6j
27;mr
18;-w
cg;l9
b7;2d
-an;-bu
3r;83
4;-15
45;-6u
4z;5l
-9v;-49
-k;-ei
-gr;-he
6t;-c6
-ku;-4j
l2;79
-2;-2e
-df;gc
-6o;hb
-22;-1c
-8v;-8z
-1z;-8z
4z;-5n
x;v
6;-5h
ut;-ax
jc;k0
6b;-8w
kr;3t
-g8;-3i
22;-9n
-3x;-bz
-59;lb
q;-79
-1e;dr
35;-gf
-3;-du
5f;-6u
-3s;el
5n;-8u
-22;-if
-18;7d
40;54
9m;1a
37;-1y
-75;-s
-4q;-7d
79;69
-51;35
3d;1t
74;-hp
6y;6r
-4x;a9
-30;fh
43;-33
-9s;-fv
3w;44
hi;-59
-mw;8f
dh;-3
-9o;-1a
nl;-a5
-7z;-d4
am;r
4f;-2y
-3c;99
2j;9q
7e;-12
8y;4k
6h;-54
a0;48
fk;1e
-2w;-21
2v;2k
-26;70
en;ln
f;-4h
9q;-dz
-66;je
f;3j
-46;-3e
-4d;-di
fw;-53
1;-20
3j;-d
5;5r
-81;-z
b1;-66
5g;6x
-v;-7a
-5q;7g
-fj;c0
-5v;-e2
6d;y
4h;-1x
62;k9
-4y;-83
4k;4i
6l;ff
cb;-1q
-ct;41
cv;8v
-8e;9x
-4p;b7
17;-6r
-1k;-5z
k7;-gl
-1x;-7w
-89;bn
-29;bb
-6r;18
41;-1y
-2v;-9i
3a;-70
-3r;5y
-3t;-2g
-bm;2o
8i;-6t
1;-7r
-1w;-9y
yh;-5k
-1o;1r
cj;43
-d8;i
7c;h1
cu;-7
-an;2r
3g;9r
-eg;kw
-bf;3q
k;-9u
-35;-1u
-56;-8b
hm;-3s
-9k;-de
-4v;7i
-6w;7l
8m;39
-if;l
e1;x
4d;-b9
-a7;7p
9b;6m
-4m;9t
-51;-kv
-y;-8m
-ce;n4
-ce;3r
1e;8n
-gw;ai
-7b;-5t
92;24
7f;bj
-1x;c6
-8k;-36
y;-4e
-85;g
52;-6x
-4r;4
-1i;-2m
-44;7e
15;-5r
-55;-79
1n;2v
jx;hb
db;3y
4;-7j
-27;8t
-ik;-7c
-iu;-6t
-ac;fc
-33;-bb
-9u;-gz
2b;5d
is;-1v
-4e;df
-9m;7f
69;j
f4;9
7h;7o
-p;-4f
64;-1p
-2o;-3y
-7s;-4z
5r;5u
-7;-2h
-as;-i1
-4x;-8x
oj;9g
7l;-bu
cp;-6h
-5s;-be
-cf;-46
9a;gk
dk;h
1m;-m
-pu;-49
-je;bh
-7s;1d
1p;-3m
-fl;56
-ci;-w
2k;-5o
-4g;-1z
-22;89
1r;9r
-3n;1s
j;3p
bj;-3k
61;-1j
-3t;8e
-2w;86
-h6;-7f
-2s;gc
7n;-dd
-4i;-bu
-2b;fj
j;9k
ef;-fl
-11;-10
-1e;cg
-6m;-6u
11;-hi
2h;fe
5t;-hi
f3;-96
jj;-1k
-dk;3o
6t;6x
-1t;70
-42;96
al;ac
-dh;-b8
-cg;3y
9g;-g3
-ay;-8g
-3t;-ez
an;aj
4r;-v
35;-8o
7t;-ao
5a;3b
9j;-3x
67;-3q
-4c;j1
3q;8v
-42;-4f
-33;aa
1;-8o
96;dj
11;na
3o;6j
-9y;7d
-bo;64
4b;-22
li;-c3
-bf;-em
9l;6d
-ig;64
45;6r
-55;8n
4f;-pm
-62;-ek
-4g;8m
eg;-gg
-16;-d7
-q;-ab
-2h;z
3u;7
3g;ej
au;4e
-dj;2u
-9c;-7k
dv;6c
-38;-cf
-3z;7v
-m;-7g
-a;3v
-8b;2p
3u;6n
-5a;gt
6h;11y
-ew;-j
-4v;-ag
-iz;-7d
-9k;98
-ak;1d
-83;-k5
-k3;7v
3u;-4d
70;-27
-9y;-ao
dn;1d
-9;-23
-7k;-9p
73;6m
e4;63
j1;-55
2t;-41
dp;22
4j;-g
-ak;-2
b8;-3i
4k;3n
-99;6r
2w;-44
7n;-7u
n1;fr
-49;-5d
-j4;-9r
-1p;5q
7u;-a9
11;-3r
-dd;80
7a;-e9
-ar;4f
-7m;ar
9s;-6n
48;as
-4b;-2l
-8q;-6d
e5;-84
9v;49
-4r;6e
x;35
-40;-28
-5l;-41
5d;c1
do;-3k
-7t;1j
-2w;7c
48;iv
-32;-2d
-cp;-d2
-d4;ae
-f1;fu
-8f;-8p
5w;-3r
9a;2i
t;-96
-43;-71
-a5;bk
-70;kb
15;99
8k;-5j
-43;55
3a;-93
37;-7r
bc;-6o
71;79
9w;-jd
-le;2t
9m;bp
3r;89
1w;26
a0;-7d
-7q;-r
-j;ec
-6k;3x
70;-1i
-1z;-3
-38;-82
-8g;-60
-2f;4x
-ib;cr
3m;-3z
-1q;5q
6o;38
51;1l
1b;-10
-6a;8h
1w;-1
o;9m
aw;-97
g5;1d
c2;f8
-2a;-6c
6q;-cf
-aj;-1j
-b;-gt
-bh;-hc
4h;98
71;91
-a;-2o
6a;5j
-6p;-4o
b1;3d
-1d;-d4
1q;1e
-k;-75
-8y;27
l7;-hk
45;j
-cb;-j
8u;-49
-1n;-67
-c9;-4b
-20;5v
-cb;1h
dr;-8i
-h;72
be;hc
p;-ic
-7o;3r
-bs;40
-70;-39
8q;-aw
3y;-c0
-be;2l
8u;99
-41;7k
-2p;-6x
-3z;22
dr;-3q
-15;k9
-3i;61
ey;7c
-kf;-1q
-8;8v
-6;-3q
5;jv
-aq;34
ez;-cx
15;q
68;hz
-7r;-3y
-1s;7l
r;32
kh;10
-8a;-5
3f;i2
-4f;-1d
-ba;hr
-9c;nd
-5k;4t
8o;-5a
-80;-k
1m;-h1
4u;6o
-70;-m
-6c;-4s
-3q;-5g
-b;-7k
-74;-1n
-ga;40
-7g;-8a
ap;-a0
42;-2l
7y;4q
-ea;-ef
-ld;-49
3f;7w
os;9n
5g;9i
-ga;-78
-cm;6g
-c;58
5z;-hw
-22;-47
5w;-7t
4h;-ib
38;1v
-4o;dk
9y;-fi
-70;-2s
fa;-8x
-b4;7o
7w;5
-5k;-1m
-l9;dm
75;-8w
7;5h
7t;-bi
-8j;u
-4k;95
44;-6w
9i;2n
0;2w
c;4a
-6p;-g5
-bo;-91
-1l;9y
-4c;6z
25;54
fu;-jr
-17;-dc
40;gi
-3o;hh
-9b;-8z
-d5;-5i
1s;38
-9y;-dn
9o;-94
-36;-et
-6x;eq
-83;-28
-j;-f4
1l;-4y
3s;1k
-m;9x
-66;1t
-x;dz
-4i;-4u
-cc;-bc
5r;30
6b;-80
5e;a3
-6q;hp
1w;5c
2m;c2
-v;-cl
-3c;5b
-9b;el
-q;-h5
7k;fx
-86;3e
-4v;55
-m;-1u
-4p;c4
1t;-e1
5g;-8y
h;24
-2r;fx
8o;-4x
-4g;-e2
-2p;-fs
-3t;b7
3x;-3g
-9s;9
-8j;-7p
5r;-d1
-2e;-4e
96;-in
f2;3q
-8b;-d
6v;-5u
5l;-4n
-5h;-4h
-k;f
8d;-8x
-7w;-3z
t4;8g
8y;71
-k2;-3n
4u;1e
-39;ab
1x;-9c
-cz;-d4
3h;e2
2f;aw
-1p;4x
a6;-8
-cv;-8d
-50;-94
2q;3r
8o;-1x
-6q;-8e
-5x;-17
9c;7
j6;-25
-ey;fj
-1g;43
3c;6d
-u;94
7e;7r
z;92
-l8;-9k
51;ds
n;7p
km;-j1
hk;-iy
-l;-a7
-3x;dd
gi;-gj
-mz;-x
9n;-3m
-8h;-57
r;35
-83;69
-9j;9c
95;-h8
4v;-5i
-8v;jd
-1g;-7z
-7k;5v
3a;-4g
-89;-9o
2b;a7
-5n;be
-df;-3r
-e1;-1k
-2z;fy
-3d;-16
-dv;-bk
-4d;-vr
-ac;-1t
dz;-ax
8r;-bc
36;g9
4j;2k
10;3w
8f;-bz
-5i;-5u
-6b;-h7
-bg;-20
-4o;56
-2q;-gj
mf;am
7c;-4z
-1p;75
kk;-b6
70;1z
-24;-67
-92;eg
-6n;af
2i;-29
-c8;9h
ni;9k
-2g;4d
9p;bv
37;-m
-g;61
-5q;12
bq;-2p
2z;2l
-5y;-gr
-7t;-94
-e;dk
-24;-9l
-f;8g
5h;-4
lq;6q
t;-71
65;-2j
-6q;em
dr;-c4
40;77
-g3;-59
-7u;4q
-a;-11
-7;3c
7s;-1y
3w;f
-4c;-3i
-8;-8c
-na;do
-a5;4k
41;-4
-7u;j
-fj;-8o
je;2k
6i;-3q
-6w;-b1
-7c;j
-58;-l1
-3h;-3w
e6;-2r
b8;-gf
-95;-i3
-c6;-1n
4b;-be
-ic;-9i
-hh;-2g
b6;-2k
-9f;u
2l;-1
32;-3g
-o;er
9f;ng
5f;-23
-66;1e
-5d;-am
gp;-dq
-o;3r
2c;-5h
-3l;-1x
1u;-7r
9s;2f
1r;69
-61;-45
74;-3n
d6;2b
-fl;-is
-b2;-5r
2e;72
a4;-46
-6c;-dc
d1;8c
k;-27
4o;-af
4e;2k
-rl;-cj
-64;2m
gu;89
jg;-4m
9i;5p
3x;-2u
-c;75
-6o;-21
96;-6w
7e;-54
-43;-fy
58;-l9
28;-dk
6w;6w
x;2y
f;-66
-7g;-2n
1w;bo
-18;x
-c9;-gp
-1w;-3h
-3b;2v
4i;-10
-6a;3d
bt;9f
-6g;7y
-ar;h2
ji;fr
g;-4
-10;-er
-2m;-cm
1h;-oc
-1o;3y
7d;-eq
-2d;-9m
4y;31
-j0;-7r
-3d;4
7t;93
-u;-o2
-6k;-1g
-bf;6v
-2p;1g
e5;-g8
-7;-ry
1k;7x
3;4o
8k;-y
-27;59
-30;-bu
-4k;60
-a3;2f
v;-15
eq;-1z
-4r;-f3
-6p;k
b9;az
c0;-bh
-35;-k4
-4h;-5u
-3r;p
-3k;-4v
-95;-12
n2;2x
-7e;kq
-7o;3b
-1k;-38
-ec;a9
1x;1b
-e0;-4m
-2v;-5o
-8l;-y
9l;6d
-2k;-8o
da;cq
-e;an
-6y;-1z
9c;-3w
-9d;-32
-4x;-69
-81;dq
8t;-34
-c9;-7j
-6n;-cn
1r;ex
f9;9l
6e;4
e;r
3p;-6r
86;-4q
-9y;hi
6u;-1q
8w;-a0
-5z;bj
52;-au
52;-1x
49;2
-a;19
-6e;4e
4;6e
e3;-9
-80;-6o
-dw;lr
-6s;2n
3d;-3o
9j;bv
-cs;-7
70;6l
-6u;-1d
2y;-b7
-6q;-cd
-89;-hy
3b;71
e2;6f
-83;-3n
-gz;-x
6j;-7a
68;57
-ba;-12
-a6;1v
6m;1n
-gb;-54
46;-9f
-f4;-4j
3v;-1t
ai;-bh
2a;50
7s;-cd
1w;1m
4w;-60
3s;-1c
-5o;2w
6p;-iy
-7t;f8
j;66
-6v;bu
-3f;-o
ba;-bb
97;1p
5i;34
-t;-2v
7u;-5e
-4h;-4r
-9f;43
ct;8q
9w;5d
1e;-dh
-b5;8d
-2u;-6q
-e;-1n
cr;-75
-bm;-7w
bk;3p
-63;5d
-5c;-7s
7k;-1x
-1t;5m
