lif;ref
75;cc
-m2;52
c2;7o
35;74
-57;-jp
52;96
3f;20
-hs;-at
4z;-8k
-24;-8t
-d;7p
80;-1q
4h;14
-25;-fz
35;-5e
b6;e
1z;-7o
dy;-9r
4e;-gx
g5;-am
1;-63
-e5;-4c
5d;-cw
-1t;6b
-4o;-at
6k;-5i
-p;27
bw;-in
a4;-4n
-1g;8m
-hm;9
-o;-d8
8z;6a
33;-1r
-p7;-gg
6u;am
-55;-bp
-g;43
-7d;-4a
4q;3h
9x;9o
1x;6v
-7k;-3f
-ex;d
47;-5d
-b4;-93
ae;-a1
74;-bb
7l;-2n
-ky;hv
5s;2h
6b;39
-6h;-bs
91;-7w
-5g;em
-ad;-1l
3z;gu
vl;-5b
-im;hg
-l;4p
-5f;-cw
3v;-7a
-5m;-73
cb;1m
-a2;k6
-7a;6g
-gz;-fj
5g;-f
-eq;-18
-48;5w
h1;w
45;-6t
-s;22
-9k;-4i
d0;-8
-48;-a5
47;7w
-dp;4
47;lw
-cp;-9t
-2u;39
-cj;-a1
2j;4e
2b;r
-15;bc
-52;-56
-6u;-5z
gb;l3
-53;c9
e;g8
8d;-2y
gd;f4
3s;-4v
48;-9q
53;2k
ei;-c
e6;-4a
-24;6b
53;1t
63;-ai
-6j;-h1
-7a;6r
6b;-7t
-5f;-93
-dg;7f
q;-1a
-j;-an
18;-4k
4t;2u
j4;-6q
3v;-6i
-5d;67
f7;-7f
79;-fa
-47;4s
-e2;j
-7w;cy
-44;1k
-o;1w
-8x;a4
-9x;-cu
-8u;3s
-jj;-bm
-6g;-fk
-bh;82
-ne;3r
-9c;ls
7x;-2r
63;-7h
7w;72
6s;2g
-9b;-cd
-6x;-5a
-po;9q
3w;5d
ew;2k
bw;1x
-jk;hx
-4w;-4y
-3l;5z
-59;as
-7g;-3q
7d;-4d
-9c;7q
-bk;-11
5x;3x
-mq;23
-fl;f
-64;-4o
3a;73
-8k;-77
9k;-83
9v;bv
33;-6i
-ao;n
8o;-o
in;84
69;17
42;-14
-1h;-1l
-7i;5u
cg;-d3
50;-e4
55;-y
37;7h
-7j;1
-ej;-n
82;5y
-8r;-41
-58;6n
-24;y
-eg;4g
-1l;66
1f;29
78;dd
7w;-1v
3x;-13
84;1n
2j;-23
-11;9q
-6k;4g
4m;-8a
37;-nu
-9c;-s
-5r;7q
b;-hq
6d;-3e
1p;-6j
-3v;-17
al;-2o
-4y;-fy
-54;f9
-1z;-4o
8f;-22
-32;-3r
-7w;-aq
2z;-6l
-je;-k9
67;-39
-9d;-26
n;-26
7q;-76
an;8s
-3s;-97
4j;e6
-ba;2k
30;ex
bn;v
-5b;2s
-n;9j
-5n;-5p
-a0;-gq
1g;-b0
-6w;-19
-77;86
-l3;6u
dq;6h
-e2;-9k
-gm;-3o
-w;-5q
-4c;-3c
-ea;-7p
4z;-66
-b3;-8a
-26;bt
-m;hy
-9x;1
-7z;4d
-1d;85
4c;fp
-d6;fa
60;-4k
d8;79
-60;bh
8b;jm
-10k;4y
-2l;-3y
-6b;-hb
-38;-7t
-4u;-2b
-3p;-g7
-1q;60
6s;-ac
-6d;31
47;9h
-7e;93
3t;-dy
-7g;-a2
-g;-65
-eb;-23
1w;-2p
-q;a2
52;gq
-3j;i4
cb;29
-gm;-75
8v;-4z
-2m;-8a
-79;62
36;7z
-17;-3z
z;-24
-9w;-aq
69;ch
3;-11
-5u;4b
cd;-9q
1g;-96
42;-c6
9;-at
a2;8s
-81;3c
64;77
-fj;3e
-bh;8j
-dq;-j0
-9s;-e
-6o;-nt
8l;-1i
-5w;9d
-4b;64
-54;-3w
-79;76
m8;68
br;-16
3v;5g
-1g;2f
8e;cs
-5w;c2
fm;-c8
ff;ar
2o;-41
-cj;-3w
ib;-3v
z;-7n
18;-7p
-oq;-9e
-6;t
19;-7k
am;-q
3q;-a1
6b;83
d;ee
2w;-6c
64;dd
8v;-i1
-4a;-6d
5r;12
-2i;h3
hl;-cy
h;8j
-50;di
9r;-6j
50;-a8
g0;1r
7l;54
5;ff
ah;c
8h;-13
ec;9g
5v;-7s
-6f;3t
6b;5l
-bz;ei
-1h;br
-cr;-2v
-cm;7b
-12;1o
2r;17
mi;-4f
-4z;-9t
4o;19
9d;u
-1w;9u
2r;2r
-35;6e
-26;-bv
-3v;-8x
-f5;6a
1s;-43
8m;54
58;3b
-85;-2i
c;5l
4i;-2l
i;1e
-2q;1x
-5w;2q
-6r;14
-1v;-5e
-v;-dj
fu;-51
-d9;dg
7;-5a
5x;1e
a9;-a0
3k;-6p
5i;-43
-1e;2s
78;-4n
6f;-2
a;-1w
-fz;45
-78;71
-76;-1f
9z;-as
-47;-i
-gl;-ey
73;-22
dt;-10
6e;-5s
13;-f9
fc;-87
-14;g
-15;-5q
-6f;f
-6n;7l
fp;2u
hs;-4j
-25;-fl
-hz;-br
3v;-x
g2;18
-2b;nk
bt;-7d
l6;cc
9v;by
4f;-9y
-1f;4u
26;3f
-5j;-bf
n;8u
-6w;gg
-j4;-9r
b2;-78
9s;9w
-23;cy
2f;44
-72;-qe
-78;5b
-9s;-b7
-b3;1n
-4m;1w
2m;-fm
3c;-1z
-33;2w
4e;-41
m;4v
q;b
-ef;29
3y;-5l
-39;7l
-9g;1c
-e1;-2i
-bl;6o
-g0;-g
-88;-p
-2w;-em
-qb;-j
ds;28
-45;3c
-cd;1
-u;-j2
9w;-4h
-3i;9r
-a3;52
7j;-1h
93;-be
94;2d
-63;8d
87;-il
-3c;27
5c;-15
1n;ch
-9k;-a
6n;kd
-b6;5t
-a7;-2y
-34;-64
-mi;3l
74;38
-go;-3e
-1b;8z
5b;-eu
-i0;13
3c;6j
72;-3t
5o;6a
5z;-lu
hp;-1h
-5r;1
g2;2z
-ag;db
1s;-7v
1f;3k
-b1;-9i
-av;-f2
-33;z
-cn;-45
4g;-14
3g;-5q
ea;4a
5c;23
-am;6m
-1e;fi
-2q;-16
-iz;-1f
-4s;67
s;y
-60;-9k
72;4x
6i;6d
h;8w
-mo;4u
19;5q
3w;-21
-bg;6m
cz;o
-cd;i
fb;-d7
-1t;-2k
aw;35
-8g;l8
35;hm
ak;hw
90;-27
-e;-h7
9;2u
-21;-6d
-2r;-pa
-qd;-3m
1u;c
1e;-gd
2i;-5h
-1u;-3e
dk;53
-1v;-25
-2h;-1u
-5f;4n
-5q;-3o
5q;-4o
-ic;-4n
cu;-4i
-2g;-6j
-aa;cr
g;81
p1;2m
1;dw
p;-s
-c4;a4
-2k;8g
-1j;-7
9s;5a
-9n;c7
6a;5b
1a;-1m
4h;-71
dm;-ap
23;4u
-8p;36
38;-9j
-44;-57
de;-4
-89;-1x
5o;hj
br;8l
ci;4f
15;-2e
g1;6c
-1u;-a5
-dw;5k
5q;hq
7l;2l
60;-el
-9r;-cl
-7i;-j8
-b8;-54
-9p;-8
-3w;-6
-3n;-3s
-3b;et
-9s;-1w
-i;-ds
-18;-gn
6k;-6u
ax;-hl
-5u;-4k
2m;2t
82;-at
73;-dt
-ak;-26
-ab;-9a
-k;ef
8j;43
-2v;-95
-63;-71
2b;6j
4z;-2
5w;dk
4e;5y
cy;3v
-au;-e5
-6m;-bp
7o;-p
-32;89
38;24
8t;-8t
18;-6q
-7w;-8d
34;-6
l;-3r
-2o;-8d
1s;-69
73;-dt
24;8b
-7;-eb
-59;-31
7y;-6h
3g;53
3v;9z
-5p;1w
-1k;-5p
u;q
-di;-b0
-81;-iy
-ay;fj
-4;-8
b5;-1k
-6i;-d7
-cf;i
-1a;3
ep;a9
-h3;c0
-4y;7t
fk;89
-83;31
4w;8d
-6c;8q
4u;-4m
nv;55
8r;3p
-29;i2
-5o;1p
-42;2b
-72;-10
2e;-8i
3j;-2
-k;8z
-ch;-8j
34;fv
-6k;kb
14;8i
-b;7n
e1;1t
-48;2j
9s;-7e
d8;31
-2c;97
eg;9z
1i;2b
-bv;7w
it;-8s
-bh;bj
2k;-7r
-7x;8e
2i;-e4
c8;w
-6j;5d
jg;-dd
e9;-b1
-f;-ck
-cv;-a0
4q;42
9;95
-4k;-cm
3q;-4s
-5w;-f0
30;-va
dz;-n
ba;6f
-hm;q
-el;-86
24;-64
53;-bg
32;-1o
-4e;-68
-9k;76
d7;lf
gt;-ek
l3;-6
h4;-bw
-5;56
eb;-5o
8p;3r
-9q;63
27;84
-3k;-8z
-67;-ep
-5i;-c
-40;-26
fu;w
-31;94
-3f;36
-4c;-5
c8;7x
7u;83
-6x;-8g
j9;r
87;aq
8i;-5d
64;40
-8b;bk
-94;-3c
hr;5a
54;9m
26;-cc
-do;-2n
-1n;e
z;-5j
45;-3e
3y;-6b
3j;-nd
-2a;-y
-5t;-fw
-81;ae
h9;b
-11;-3z
-a0;8e
45;-6a
ej;66
1t;-bx
-59;fa
-33;u
2q;-bb
d;-p9
-1z;1l
k3;-5c
-3e;-7
-1r;1
g6;-bo
9g;-47
2e;2k
-2n;-c
4z;4o
fx;-6q
-2p;-2c
4o;-8l
-50;-5v
-3w;-94
-7m;-iv
dr;-fj
3;fr
2n;3w
t;3v
-1q;24
9g;-7m
6b;-cx
-as;da
-dx;-dc
7i;-1
-44;-m
fd;3s
-4q;5
ah;-1b
-7s;-i9
-as;d1
a9;nf
9w;hp
-b5;t
2f;-30
ge;-dx
-e4;k
4e;-7i
-2q;hr
be;31
7b;6v
f;5n
34;-9f
-cm;1k
-4i;-bw
2e;-3f
-cm;-3r
-g;2u
7y;-dg
-3;-9
-cs;-65
-a3;6w
-4c;-5y
bv;-5k
8;dz
2g;-92
29;-58
5b;73
-69;6b
-3n;-f0
cx;-59
-5f;-gx
-1;2h
-f4;-3j
-1j;-26
-3r;31
-5d;55
-2w;18
at;-57
-5a;-32
-4w;-23
-35;j4
-7t;-9
ac;-6e
-27;-fi
72;cx
3f;b6
-h4;-6c
hm;-7j
cm;6z
-5d;-2l
-b7;d
-8o;-2b
i3;3f
33;cf
64;9l
j0;-c4
fp;h
-88;7j
5w;-7f
34;u
ap;4y
-7a;-a0
-2v;-6a
55;a4
87;-o0
-4n;3l
66;-8q
40;-7p
9;-1h
-6v;5l
1h;gb
ai;bt
-3n;45
69;k
cs;-am
e5;bz
-7t;-2
-8f;bs
1z;6t
6w;2r
-39;7n
7d;cd
24;a1
42;-1n
-2h;-82
5r;8m
g;bt
1x;3
-9r;-o
ft;3
-6z;6s
-at;-70
dy;4k
-80;2e
-8i;3t
8m;bf
g6;-3y
4i;5t
8;-6n
-7d;56
-7p;-5f
4a;1n
-bw;-6h
7l;cb
-ao;4e
1h;-4g
6h;3c
2d;by
ca;-7r
68;11
6v;69
8k;68
6e;-2q
gl;-cs
3l;ec
7p;-2g
-7p;5r
86;1y
-7z;1k
-8d;1c
7f;j
-1i;du
4i;-4o
jp;-hd
-41;7e
bv;83
bl;-7m
-1i;f1
11;ah
-c6;-3a
gs;-4c
-q;a1
-5w;62
9w;x
-2i;ad
-1b;-4o
7c;9r
7v;34
-at;2y
3n;bm
gc;br
22;-1n
y;-9g
2v;-a0
2y;-c5
-aw;gl
-2c;-1z
b;-go
7b;9n
f;-e7
ds;-v
t;-4z
5d;-32
7s;-3j
1r;-bd
-4q;c5
cn;-8
-be;-3r
c3;bb
-gl;z
9y;-1q
-4t;nw
-4x;2s
19;-2k
-80;1h
6y;-1k
fd;-gl
-50;-1g
-b0;2x
79;38
-eo;-8i
2x;-4h
-g8;75
a2;-1p
-1o;-92
1q;-7d
5i;-8o
7;-38
-8n;cp
-d1;5e
-3u;8q
32;bh
4g;-an
-1z;-1g
2q;-1s
-1;-7f
4b;-m
9q;9n
a6;36
40;-q
-79;-16
-r6;-4c
-cm;-1j
-f0;3q
2b;-54
-1k;14
-5;bk
-ao;-aj
4x;-1b
4v;-6w
-2r;b
-7h;-a7
1j;5r
af;-5v
0;-6v
-ca;38
-55;-9m
-de;au
-a9;-7
-af;3e
6j;2s
-bc;aa
-ge;-bu
-1z;39
o;-jr
4b;-fh
1p;-3z
-b1;-4g
kh;1e
dj;7u
-a;6m
-x;-1z
5a;6d
15;fv
bz;-2q
-bw;l
h2;8s
9a;bq
-da;-26
1j;4j
-5l;9y
-h2;l
-b3;8q
1y;-2j
-cj;-ga
-5a;-fk
a2;-77
-r;-8d
-16;-m
13;-3w
61;b6
1r;4f
g;at
w;-2w
gp;5u
gn;63
-8t;1k
29;k
1q;-20
-no;hj
2i;-aa
2o;lz
q;-5
-a9;-e0
aw;-eo
-5e;-3
-3g;x
-5r;-5x
67;-2p
-o;d0
11;-t6
-18;5a
9c;7z
1b;-4g
-gp;dk
52;5k
1k;28
-ad;6x
-6f;-3r
-71;-t2
p;3v
-n2;ao
-7c;-da
2r;5p
t;-5p
2w;61
-5z;-8h
-7w;-58
7l;a2
bp;-7p
-63;2b
-am;-cr
-29;-1p
-i;-c6
3u;-dn
-h2;al
e4;as
e;y
8t;14
-15;-ew
2c;23
9;p
-8a;6w
-7u;4e
6t;f4
78;-32
-7v;-8f
ed;70
bf;3i
-2a;2a
-20;h5
-6u;p
-31;-2o
cd;-5o
-bi;-8k
-98;1r
-9l;9p
84;-hr
aa;n
5a;gm
-8s;bo
-8o;2l
-14;-1k
-4w;-3q
6f;68
-3i;-b3
ki;ks
-29;-7l
bz;-10
5d;dk
-f8;8s
-im;-5k
4k;-54
-3l;5
-gm;-6g
-74;8l
33;-60
-8n;bm
-8d;-99
-8d;-9k
-5n;-h4
d;-23
-3z;30
-4c;87
-8y;-cb
dj;-8g
kx;-7k
29;-9w
-gn;-cn
-2q;d
-9g;-aa
-c0;-8p
-7e;63
cj;-aj
-56;a2
-q;54
-9h;-m
-28;-m0
-7a;3u
-6c;-6v
-cq;95
cx;-a8
53;-cn
22;-8k
-f;7u
g7;4q
-7g;-2j
4o;-ac
ie;9i
h9;93
-rz;4x
-2l;22
-9e;-mb
5a;-41
6z;9f
-1i;-1r
-x;-5q
-y;gh
20;j
-k4;1j
ce;3p
-6l;-8a
61;-8
-a4;-dx
5f;-4i
3u;-3g
-58;-45
5e;-4g
al;-d0
1q;3z
7d;-w
-hn;-72
-9s;98
-fe;-6v
jq;-7
-5e;6n
-8g;-au
-3;1w
7r;96
-4z;-ao
-h;-at
av;2n
-6l;-a5
b4;3m
at;bv
5q;-8b
5u;dd
0;-8o
73;-8j
-1i;2d
-7v;-bu
-z;-6q
-bs;-68
4m;-9m
-5l;-d
-7a;-fi
84;b4
-5c;6g
gd;12
-3g;6j
-4;-2z
-eh;-fj
-9;7u
6x;bh
ep;-4a
g;au
ex;-45
18;1r
-3w;do
5u;fa
-4q;7l
s9;2p
m9;-a0
-m;-4r
4m;-ak
-23;8a
-7n;-62
49;-5l
-5x;-u
5b;-31
-6e;30
-j;f
bh;jy
-1l;5z
-ed;de
8h;4t
v;-9f
4n;-2e
-43;-u
b5;y
-3m;9r
5e;-7v
-6p;4n
5h;58
-2l;-dl
46;-8o
-1h;-60
-cf;p
-i7;-m
1s;-4k
-5w;5p
4i;c5
-id;7s
-16;-9j
-1o;-v
i7;-76
6v;43
-dc;2z
-4b;-67
3k;4p
-8u;-2r
2v;jq
-a5;-e1
-33;-dy
4q;62
-4r;-7b
-15;-b1
by;-g
-80;44
-1u;3b
-5k;-di
-l;10
-6z;8w
-6p;if
-dn;-5z
-6a;1f
-6f;-9o
84;s3
45;8j
3f;-bg
-dv;49
11;-u
6f;-40
-2p;j2
lb;d
-5z;-2b
56;-ds
fu;-4e
6n;56
-bb;-3x
-ar;-60
-1j;-a1
-bg;-bn
-4;-64
0;-kh
hx;o
7x;-1q
-92;68
-ot;b8
-5y;-co
5e;8
-gk;-58
-7w;kl
-b9;-ai
73;4x
er;-1n
4f;-f
-h3;-8k
-68;o1
-1w;45
-7c;6
-a6;io
29;hy
1l;1p
81;dp
-aw;w
-97;cu
5p;-69
-ot;-3z
-43;ai
-82;3k
-me;-3q
3l;-gw
-9d;7s
8f;-ay
-7l;-4p
-4b;-3l
34;-8s
s;c
62;65
-7w;ju
-g;-8q
-2;-e8
8f;-6a
8b;2x
-h5;-7t
94;-4w
-5p;8w
kg;2n
1k;c5
6a;-cl
2w;bu
a9;-k
-je;-8o
-49;-od
3h;-ep
-5x;-7a
-ax;1d
pi;-p7
-6r;1
-bb;-45
-6;cm
-j7;-5
-a2;-3u
-6j;-1s
fc;-4f
d1;2e
-3r;e
s;-66
-b2;a1
-6p;36
-ej;hk
-h4;-6i
-8k;-c4
18;a
-7n;c6
-z;3
bo;36
am;h6
ab;-2r
-a;13
-3x;-c6
12;18
-41;b1
bt;-7t
-1d;-61
-4r;1c
3l;-9s
-9y;3h
-cg;-4r
-hk;-5s
9b;3z
aj;dj
-36;5i
-cv;-27
4z;hi
-bs;c1
-8j;-ef
-7u;gi
-5x;-95
ik;c1
-h;-6t
-9j;-7p
-1z;3
5j;-h
-5n;3u
-cp;8i
-1e;ew
3u;-6i
1o;94
5t;6d
68;6b
-l6;1t
-7t;-44
-2s;4f
5f;2k
2q;5l
d7;-fc
9y;-n
86;-a0
ag;-3p
-do;-gx
-3e;c9
-3b;-38
-48;-5o
-91;-1c
-cx;-ie
-4d;d5
5a;-76
-8b;15
-40;5i
-15;-g8
-6z;-85
1r;3r
ag;-62
-8v;-5n
79;-f5
-ap;-3b
bq;-bk
a;-90
9o;18
cn;ae
el;-3h
-6y;5p
-al;kr
5o;h
82;3l
-bz;6u
-2a;-cr
3z;-7r
98;2a
-m;1z
-dl;-dk
-2m;-lb
j;-cq
-k7;5l
-4f;dt
-t;-4b
23;-ax
-3b;-3o
-4h;-31
-2f;-bz
2y;1z
3p;-g1
6f;-20
-25;3x
p;-bv
6l;eq
-ar;-cu
12;-57
-3k;p
6z;-8q
-oh;-5z
9;-3z
-5b;-7x
9z;4c
6f;-61
-2l;h4
-9a;2l
9z;-n
-4d;3e
4i;-1j
-bn;-3s
6w;5c
82;7r
2v;fe
5g;61
-1s;4y
-40;il
5f;-3e
-9u;4l
-ad;-5g
1m;dp
bz;-gj
-64;4h
et;-1k
-ag;8z
6f;-4n
2k;-94
-1k;4t
-6i;-99
o;-5t
4s;-n
-9a;-hl
1m;77
44;8r
-8k;-bt
3g;5q
5v;7r
-35;3k
-1t;-2t
-4b;-fz
-bd;-28
-9f;-7p
-by;-5q
-bw;cx
-3t;3s
-8h;-ek
-8f;d
-aa;ae
-1m;-ir
a4;-h
-hi;-68
-1k;-52
-95;-fc
a3;2o
5v;20
32;-c7
-9n;2
-do;-b2
1m;-f
6j;-db
-4n;bl
-gy;-3m
-9i;b2
4b;52
8t;-7v
-3v;6c
-5h;f
f5;-38
-bp;-k
-60;at
dw;h
-4u;-1e
5r;i6
-54;-5i
cn;-3a
-4c;2v
3j;3e
2c;ex
-l4;-a8
44;96
1v;-h0
hz;-5u
-hb;-4p
-8o;5s
b1;3t
6t;d4
-48;-da
-7h;5q
-ab;-y5
8j;-a2
-7n;39
-19;2q
1s;3n
-b8;4m
-bi;-2b
-1j;1w
-9v;8l
-7g;-e4
-5t;-bn
-kg;-6m
-g8;-aw
-mv;-m
51;7p
31;-3l
-4y;-by
-2x;-ml
bk;2n
-a3;-1w
-a5;20
3j;44
o7;68
-3q;-ck
-c7;5c
bv;-jk
1k;-4k
27;2e
-43;56
-63;-15
3p;-1t
-km;gz
20;-2q
-58;-95
bl;ij
ez;-hl
-5z;73
-6v;-2t
3r;-6i
10;-69
-7r;5t
2z;-1y
-4r;-37
bm;-am
-w;-27
5w;10
4c;47
-4g;-4b
-19;73
bm;n2
-di;ii
-az;-fn
-9h;6
-8s;9c
au;-o
kp;r
ak;-3v
f;-e8
-b7;-73
54;-gk
-1y;7x
-6q;6g
-u;a2
-54;-f
-ey;e3
-7x;b1
9n;1d
-fy;-b5
v;-ca
8l;2m
b1;69
li;1a
-7g;-20
-ac;5e
51;-88
-a2;2g
-74;-4u
-7z;6l
5p;r9
-5v;-2p
dp;1z
at;-8z
-2j;-bd
-35;5m
4d;-a1
-eo;-99
-4d;-k6
-1w;57
32;-cu
y;-90
54;-b9
-2l;cf
-8x;-8m
-14;7s
8h;5n
3l;gb
-2h;g3
7r;5b
hv;-7n
1u;-bt
42;-34
-ar;fu
2t;-8t
8a;3o
8m;-24
1a;5c
o;-t
c3;-8
-25;7t
-1h;7k
-ar;da
ai;8d
-3u;47
26;9s
2e;-b3
-89;2i
-l9;-7i
6u;95
8c;-3s
-gj;70
8f;f5
4v;80
-8a;-8w
-hv;-2j
a8;6m
-3k;7g
-7b;y
3i;59
-ai;-5q
-6y;1
-au;-7j
2q;an
-ci;86
-f1;ap
c0;5h
-32;-3p
u;53
-90;-25
-79;aj
b;-d6
-93;-1q
-4;gd
7a;4t
an;f9
-p;-a2
-9u;9i
cs;2d
-2x;-11
4l;1x
k;7y
-5x;-6s
5s;gl
cm;-ab
-7l;3z
bv;2i
-gn;83
26;cn
bv;14
bg;fr
-3l;-dt
2f;-5o
-ca;6a
-6p;3q
65;-br
-64;gi
5v;2l
-31;-t
k;4u
-5u;54
-9v;-30
25;-bh
bt;5f
-c3;-gb
-b5;6w
ee;cm
-9u;a3
-aa;3x
ev;-uq
-c5;9y
9g;a3
-ik;-62
2i;5a
8e;-37
af;9g
-6p;13
7e;-80
6w;9c
o5;-3t
1g;7b
s;-29
-6l;4p
5w;-b9
-84;-5j
f9;-dy
b4;3b
2y;1w
-9m;22
9v;k2
-5e;jx
3s;9z
-ba;-ae
-b4;4
6c;-4m
-3t;-1f
-5r;3
-ec;87
-6c;-8q
-1u;-8q
-2v;1l
12;-cx
1i;fv
62;16
9m;ie
-3p;-ab
-7v;-3r
-3t;ig
-2h;-3
-6o;-1l
-jd;5g
mx;-aa
-9e;-1q
p;f
5y;ip
39;-iy
71;-93
b8;-bz
-1t;-3j
-93;-4
-50;-2v
br;-8j
-5e;-30
q;1t
7o;-cg
-m;6v
1g;be
-7j;g3
-dr;cf
-cx;38
-c2;-6s
-81;13
8f;7z
22;ct
-8j;2h
54;-l
-4y;-n
-4o;-6o
1r;-7f
80;-g
ju;19
4u;-d0
2b;71
l;-4f
f;at
40;cp
8c;-n1
-jb;-dq
2x;96
-b6;4d
go;-o
6l;-v
9u;-3s
-ek;9y
-b0;bh
-81;-5h
ct;6j
-8i;3z
b6;6k
be;3y
4n;8m
-69;9v
3t;-2o
a3;-h9
-ea;-i
-ba;-1p
-ax;l4
3g;3b
45;1y
-mq;-e0
gp;ek
90;-bd
8l;-53
ju;-2s
-ec;53
-y;-i
c2;-dd
-4q;fa
-v;-v
-19;1a
-7;-kv
7f;45
1b;to
-38;-n
ap;7p
-90;k
5y;-4b
-1q;1g
-aw;-f9
-1h;-7l
31;-9h
-5;-gw
-gg;-qz
i;jc
-dz;1a
d5;-1u
-1t;6u
-j;3t
-31;79
a6;6m
dl;-2h
-7;8e
-3;3j
-2e;-2d
69;-5m
-ee;60
fo;-4o
gw;-5z
-cz;-7b
7f;z
33;-53
15;-e3
25;-ec
-69;-2p
-5h;6q
-80;7h
-ab;-3q
-e1;2f
-m5;as
-6b;-6h
-7c;-g
-3s;1r
9t;-8t
-8x;16
9u;-9a
co;-2t
-3u;1v
-5e;ag
s;ib
4v;ch
ew;-o
-fu;94
am;ey
4x;3g
-4a;-gf
ci;cc
-ic;eq
n7;-1b
-6b;-90
-3n;5d
6;-25
-6k;71
-2;-5f
3w;5c
-8i;8k
-ow;ax
fx;-j
94;-8l
2u;1d
ba;cn
-ar;-g
59;3a
1p;48
-f7;80
3k;-cq
-j;6o
86;az
-1w;6f
-7g;cl
7s;-3s
-la;-38
19;-5s
-4p;-y
-g2;-f
-t;2s
g;-33
-ch;-12
-fy;-af
-6v;-cn
-8x;-23
cx;k
8h;-17
-ae;3a
-cy;-9
-9t;1
-8x;8i
cg;-1u
f3;8z
-t;-1a
3c;-1l
-2q;-8n
71;-2t
-2m;-ka
9f;c9
-54;8
8k;-7a
ah;-1l
-c8;-c1
-1x;-dg
b8;-3s
-a;a5
4b;-4y
-7f;-23
j8;3s
-a0;e
-32;-98
-9h;-ee
-e;-ii
3k;-15
-5i;3r
5m;d4
-m3;-9p
-3n;-2p
8w;ex
d4;8e
-3e;-bf
4m;-s
-73;fp
55;3k
dk;-ac
f7;dn
-fi;-17
3d;-4l
e8;-6g
-t9;6x
5y;3x
3h;-31
